Index,Name_ExperimentDate_Plate,ROI
0,ba1 WT/Het 0.1% DMSO_20211019_plate0,"[  0   1   3   4   5   6   8   9  12  13  15  17  18  19 101 102 104 105
 106 107 108 109 111 112 113 114 115 116 117 118 119 201 203 204 205 207
 208 209 210 211 212 213 214 215 216 219]"
1,ba1 WT/Het 1uM Mela_20211019_plate0,"[ 21  23  24  26  28  29  30  32  33  34  36  37  40  43  44  45  48  49
  50  52  55  56  57  58  59  61  64  66  67  69  70  71  72  73  75  77
  78  79  80  81  82  84  85  86  87  88  89  90  91  92  94  95  96  97
  98  99 120 121 122 123 124 126 127 128 129 130 132 133 134 135 136 137
 138 139 141 142 143 144 146 147 148 149 153 154 155 156 157 158 159 162
 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180
 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198
 199 220 221 222 224 225 226 228 229 230 231 232 233 234 236 237 240 241
 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259
 260 261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277
 278 279 280 281 282 284 285 286 287 288 289 290 291 292 293 294 295 298]"
2,ba1 Mutant DMSO_20211019_plate0,[  2  10  11  14 100 103 200 202 206]
3,ba1 Mutant 1uM Mela_20211019_plate0,"[ 20  22  25  27  31  35  38  39  41  42  46  47  51  53  54  60  62  63
  65  68  74  76  83  93 125 131 140 150 151 161 223 227 296 297 299]"
4,ba2 WT/Het 0.1% DMSO_20211019_plate1,"[300 302 303 305 306 307 308 310 311 314 315 316 318 319 400 401 402 403
 404 405 406 407 408 409 410 411 412 414 416 417 418 501 502 504 505 506
 507 508 513 514 515 516 517 519]"
5,ba2 WT/Het 1uM Mela_20211019_plate1,"[320 321 322 324 325 326 327 328 329 330 331 332 333 335 337 338 339 341
 342 343 344 346 347 351 352 353 354 355 356 357 358 359 360 361 362 363
 364 365 366 367 370 371 372 373 374 375 376 378 381 382 383 384 385 386
 387 388 389 391 392 393 394 396 398 399 421 422 423 424 425 427 428 429
 430 432 433 435 436 437 439 440 441 442 443 445 447 448 449 452 453 454
 455 456 457 458 459 460 462 463 465 470 471 472 473 474 475 476 477 478
 480 481 482 483 484 486 488 489 492 493 494 496 498 499 521 522 524 525
 527 530 531 532 533 534 535 536 537 539 540 541 542 543 545 546 549 550
 552 553 554 555 556 558 559 560 561 564 565 566 568 571 572 573 575 576
 577 579 580 582 583 587 588 589 590 591 592 593 594 595 596 597 599]"
6,ba2 Mutant DMSO_20211019_plate1,[301 304 309 312 313 317 413 415 419 503 509 512 518]
7,ba2 Mutant 1uM Mela_20211019_plate1,"[323 334 336 340 368 369 377 380 390 395 397 420 426 431 434 444 446 450
 451 461 464 467 469 485 490 491 497 520 526 528 544 547 548 551 557 562
 567 569 574 578 584 586]"
8,ba1 WT/Het 0.1% DMSO_20211020_plate0,"[600 603 604 605 606 607 608 609 611 612 613 614 615 616 700 704 705 706
 707 709 710 712 713 714 716 717 718 719 800 802 804 807 813 814 815 816
 818 819]"
9,ba1 WT/Het 1uM Mela_20211020_plate0,"[620 622 624 625 626 627 630 631 632 633 634 635 636 637 638 640 641 643
 644 646 649 650 651 652 654 655 656 657 658 659 660 661 664 665 666 668
 669 670 671 673 674 675 680 684 685 686 689 691 692 693 695 696 697 698
 699 720 723 724 725 728 730 731 732 733 734 735 736 737 738 739 740 743
 745 746 748 749 750 751 752 753 754 756 757 758 759 761 762 763 764 765
 767 768 769 770 772 773 774 775 777 779 780 781 783 784 785 786 788 789
 790 791 793 794 795 796 797 798 799 820 821 822 824 825 826 827 831 832
 833 834 835 838 839 840 844 847 849 852 853 854 855 857 860 861 863 864
 865 866 868 871 872 873 874 875 878 879 880 882 884 888 890 891 892 893
 894 895 896 897 898 899]"
